,Anon,kolejności,Data zakupu,bottle_filter_units,next_purchase_date,days_until_next_purchase,filter_retention_days
1890,ANON_1783,128046548,2023-07-27,4,2023-08-17,21.0,5.25
1914,ANON_1807,128644894,2023-07-30,4,2024-09-08,406.0,101.5
8261,ANON_1807,220504784,2024-09-08,4,2025-06-19,284.0,71.0
1918,ANON_1811,128754535,2023-07-31,2,2023-08-05,5.0,2.5
1928,ANON_1819,128991933,2023-08-01,6,2023-11-05,96.0,16.0
1931,ANON_1822,129091778,2023-08-01,8,2024-09-12,408.0,51.0
1940,ANON_1830,129302763,2023-08-02,3,2025-06-28,696.0,232.0
1945,ANON_1835,129448692,2023-08-02,4,2024-03-20,231.0,57.75
1950,ANON_1840,129604613,2023-08-03,11,2023-09-12,40.0,3.6363636363636362
2496,ANON_1840,138866073,2023-09-12,4,2024-07-24,316.0,79.0
1960,ANON_1847,129796983,2023-08-04,6,2024-07-24,355.0,59.166666666666664
1968,ANON_1854,129960626,2023-08-05,6,2024-03-24,232.0,38.666666666666664
1972,ANON_1856,130004474,2023-08-05,1,2025-11-23,841.0,841.0
1985,ANON_1868,130274052,2023-08-06,6,2023-12-03,119.0,19.833333333333332
3641,ANON_1868,159479335,2023-12-03,6,2024-12-05,368.0,61.333333333333336
1986,ANON_1869,130306110,2023-08-06,4,2023-12-28,144.0,36.0
1989,ANON_1870,130357132,2023-08-07,4,2025-04-06,608.0,152.0
1999,ANON_1879,130599404,2023-08-07,3,2023-11-22,107.0,35.666666666666664
2002,ANON_1882,130699671,2023-08-08,6,2023-11-07,91.0,15.166666666666666
2011,ANON_1891,130985436,2023-08-09,1,2024-04-28,263.0,263.0
6037,ANON_1891,193500293,2024-04-28,3,2024-11-14,200.0,66.66666666666667
2017,ANON_1896,131138288,2023-08-09,2,2023-08-10,1.0,0.5
2018,ANON_1897,131158181,2023-08-09,4,2024-01-11,155.0,38.75
4272,ANON_1897,170002252,2024-01-11,6,2025-11-09,668.0,111.33333333333333
